"rpt_rec_num","Provider CCN","Hospital Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Number of Beds + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor: Direct Patient Care","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable","Inventory","Prepaid Expenses","Other Current Assets","Total Current Assets","Land","Land Improvements","Buildings","Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets","Investments","Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG Amounts Before October 1","DRG Amounts After October 1","Outlier Payments For Discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Total Patient Revenue","Less Contractual Allowance and Discounts on Patients' Accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone CHIP","Stand-Alone CHIP Charges"
518766,364050,ACCESS HOSPITAL OF DAYTON,2611 WAYNE AVENUE,DAYTON,OH,45420,,,NA,PH,4,5,11/20/2012,12/31/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519423,111310,PEACH REGIONAL MEDICAL CENTER,601 BLUE BIRD BLVD,FORT VALLEY,GA,31030,PEACH,31420,R,CAH,1,9,11/01/2012,12/31/2012,126.71,,,203,24,669,25,1525,,26,3,70,25,,96,8,276,25,1525,,26,3,70,131535,456949,303120,367174,846719,917209,48300,1576662,,2709630,3791488,,,,,,,594237,,,1565162,,251104,27822,7648,2216508,,,12094059,,,,,,2132431,,98790,98790,4447729,3368238,405165,,,,38620,3812023,,73127,,2039176,2112303,5924326,-1476597,-1476597,4447729,,,,,,,,,1078908,2930963,4009871,2020254,1989617,2220877,-231260,96514,-134746,2,-134748,0.415843,60283,299000,,
522458,131311,ELMORE MEDICAL CENTER,895 N. SIXTH EAST,MOUNTAIN HOME,ID,83647-,ELMORE,99913,R,CAH,1,11,10/01/2012,03/31/2013,164.04,,,731,236,1289,25,4550,,144,71,312,63,,473,152,860,25,4550,,144,71,312,308291,1125321,923730,1552821,4449103,6371676,620545,9599740,4203651,12636767,16840418,,,,,,,1342978,,,5606732,-2585171,309762,151056,,5350089,768931,737890,12098165,,1559591,6860613,,,8893407,,6162042,6162042,20405538,175946,409132,,,,540162,1125240,,,,,,1125240,19280298,19280298,20405538,,,,,,,,,4186394,13908476,18094870,7625924,10468946,10820779,-351833,921971,570138,,570138,0.570042,1049874,3327301,,
523781,132002,COMPLEX CARE HOSPITAL OF IDAHO,2131 S. BONITO WAY,MERIDIAN,ID,83642-1659,ADA,14260,U,LTCH,2,4,02/01/2013,05/31/2013,85.86,,,2215,28,2793,60,7140,,80,2,127,60,,2215,28,2793,60,7140,,80,2,127,,,,,1905184,1364272,180186,4620573,15583796,,15583796,,,,,,,,,,1806205,,,-694690,,-3614157,,,20654481,8444,,,,,17202955,,,,13588798,223940,91831,,573334,,,889105,,,,18325326,18325326,19214431,-5625633,-5625633,13588798,,,,,,,,,15583796,,15583796,10623428,4960368,3269456,1690912,63917,1754829,1,1754828,,,,,
525622,452063,LIFECARE HOSPITALS OF SOUTH TEXAS,2001 SOUTH M STREET,MCALLEN,TX,78503-,HIDALGO,32580,U,LTCH,2,4,01/01/2013,05/30/2013,186.5,,,8032,,8931,94,14100,,300,,345,94,,8032,,8931,94,14100,,300,,345,,,,,4427478,6172862,219929,9961077,52444744,55425,52500169,,,,,,,2000,,,3648798,,238078,356473,,30576746,,,,1134089,,5693555,,,2210885,,18867,18867,32806498,491196,994334,,,,1763,1487293,,,,-565,-565,1486728,31319770,31319770,32806498,,,,,,,,,52444744,55425,52500169,39646632,12853537,10600340,2253197,-43897,2209300,386,2208914,,,,,
531682,341304,BERTIE MEMORIAL HOSPITAL,1403 SOUTH KING STREET,WINDSOR,NC,27983,BERTIE,99934,R,CAH,1,9,10/01/2012,09/30/2013,93.21,,,1389,93,1668,6,2190,,393,33,497,6,,1389,93,1668,6,2190,,393,33,497,667063,1981230,1151685,1982673,6720886,10310897,1619252,16219877,7076824,28348551,35425375,,,,,,,5196572,,,4394977,-1654549,441045,44490,,8496978,430730,,9200659,,6261615,,,,5906594,,,,14403572,864330,809606,,191823,-2139,132919,2531624,4965852,352880,,122040,5440772,7972396,6431176,6431176,14403572,,,,,,,,,7089455,28335920,35425375,17035593,18389782,17031783,1357999,831344,2189343,1932041,257302,0.45786,1332148,4680685,43767,139354
531687,341318,CHOWAN HOSPITAL INC.,211 VIRGINIA AVENUE,EDENTON,NC,27932,CHOWAN,99934,R,CAH,1,2,10/01/2012,09/30/2013,297.78,,,3797,1365,6025,29,10585,,857,637,1984,29,,3452,913,5019,25,9125,,857,637,1984,1065044,4102354,2085584,2267728,17628171,25061287,2841277,39051548,38867491,70120920,108988411,,,,,,,4064156,215604,,15752776,-7510557,1498930,148366,,13931973,568352,872901,24198396,,,18910662,,,18755038,,,,32687011,1340336,661611,2009105,,,336378,5902476,,4851678,,193432,5045110,10947586,21739425,21739425,32687011,,,,,,,,,39749681,71684224,111433905,65598112,45835793,42689458,3146335,3895234,7041569,8826,7032743,0.358309,1980551,5906645,94644,393335
533836,363304,CHILDRENS HOSPITAL REHAB,6801 BRECKSVILLE ROAD,INDEPENDENCE,OH,44131,,,NA,CH,5,5,01/01/2013,12/31/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534132,314021,HAMPTON HOSPITAL,RANCOCAS ROAD,WESTHAMPTON,NJ,08073,BURLINGTON,15804,U,PH,4,4,01/01/2013,12/31/2013,,,,11487,3196,37147,110,40150,,630,151,2533,110,,11487,3196,37147,110,40150,,630,151,2533,,,,,11140611,10769528,587772,18337386,41489700,5511994,47001694,,,,,,,-262081,,,5533775,-2380137,44865,54288,,54166471,300000,,8146682,,,1575990,,,3621639,,8407,8407,57796517,246526,1227455,151367,,,,1625348,,,,-26376014,-26376014,-24750666,82547183,82547183,57796517,,,,,,,,,45421480,5511994,50933474,20540208,30393266,21910139,8483127,200224,8683351,1069098,7614253,,,,,
534755,042008,ADVANCE CARE HOSPITAL,7301 ROGERS AVE.  4TH FLOOR,FORT SMITH,AR,72917,SEBASTIAN,22900,U,LTCH,2,1,12/01/2012,12/31/2012,54.72,,,584,,622,25,775,,19,,23,25,,584,,622,25,775,,19,,23,,,,,261467,342045,5885,590132,2509060,,2509060,,,,,,,350,,,5302238,-3590797,87037,5500,,1868646,,,,2185,35590,796736,,,287225,,4125,4125,2159996,257180,294704,39831,,,788068,1379783,,,,-22990,-22990,1356793,803203,803203,2159996,,,,,,,,,2397318,,2397318,1462926,934392,603512,330880,13209,344089,,344089,,,,,
